#topo1 (Outgroup,((Calibrachoa,Fabiana),Petunia));
#topo2 (Outgroup,((Calibrachoa,Petunia),Fabiana));
#topo3 (Outgroup,(Calibrachoa,(Fabiana,Petunia)));
topo1	topo2	topo3
0	0	196
14	140	42
196	0	0
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
98	98	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
140	56	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
0	196	0
98	98	0
0	49	147
196	0	0
56	140	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
0	0	196
0	0	196
49	147	0
0	0	196
196	0	0
105	42	49
84	70	42
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
28	168	0
196	0	0
0	196	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	0	147
196	0	0
0	147	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	0	28
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
7	21	168
196	0	0
196	0	0
56	84	56
196	0	0
0	196	0
196	0	0
0	0	196
0	196	0
147	49	0
196	0	0
98	98	0
196	0	0
196	0	0
147	0	49
0	0	196
196	0	0
49	147	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	147	49
196	0	0
64	114	18
196	0	0
196	0	0
196	0	0
0	196	0
115	46	35
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	168	28
196	0	0
196	0	0
140	28	28
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
35	42	119
168	28	0
196	0	0
196	0	0
196	0	0
140	56	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
28	168	0
196	0	0
0	0	196
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
101	90	5
196	0	0
196	0	0
0	0	196
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
196	0	0
0	0	196
196	0	0
168	0	28
196	0	0
196	0	0
196	0	0
196	0	0
98	98	0
196	0	0
196	0	0
196	0	0
196	0	0
0	49	147
196	0	0
196	0	0
196	0	0
147	49	0
196	0	0
196	0	0
0	196	0
28	168	0
196	0	0
140	0	56
196	0	0
0	196	0
196	0	0
0	0	196
168	21	7
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
0	196	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	147	0
196	0	0
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
182	0	14
196	0	0
196	0	0
168	28	0
196	0	0
0	0	196
0	196	0
28	168	0
168	28	0
0	126	70
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
0	196	0
196	0	0
0	140	56
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
56	0	140
0	196	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
84	56	56
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
49	0	147
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
28	168	0
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
196	0	0
0	196	0
196	0	0
49	147	0
49	0	147
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
0	0	196
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
0	70	126
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
98	98	0
0	0	196
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
168	18	10
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
0	196	0
196	0	0
196	0	0
196	0	0
0	0	196
7	168	21
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
0	196	0
196	0	0
196	0	0
168	19	9
196	0	0
196	0	0
0	0	196
196	0	0
0	196	0
196	0	0
144	12	40
196	0	0
49	0	147
112	84	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
49	49	98
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
84	0	112
196	0	0
196	0	0
130	64	2
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
98	0	98
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
0	196	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
0	196	0
168	0	28
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
129	25	42
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	49	98
196	0	0
0	196	0
0	0	196
0	0	196
196	0	0
4	24	168
0	196	0
196	0	0
196	0	0
147	0	49
0	0	196
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
0	196	0
196	0	0
0	196	0
196	0	0
147	49	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
49	147	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
112	84	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
147	0	49
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	147	0
168	0	28
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	0	28
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
0	196	0
196	0	0
0	196	0
196	0	0
196	0	0
0	98	98
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
28	168	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	0	147
196	0	0
196	0	0
196	0	0
196	0	0
28	42	126
196	0	0
0	0	196
0	0	196
196	0	0
0	0	196
196	0	0
98	0	98
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	98	98
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
126	70	0
132	52	12
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
49	147	0
196	0	0
0	196	0
196	0	0
70	28	98
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
147	21	28
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
168	28	0
28	168	0
196	0	0
196	0	0
196	0	0
196	0	0
147	49	0
0	196	0
196	0	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	147	49
196	0	0
196	0	0
196	0	0
7	168	21
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
0	0	196
0	196	0
84	112	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
168	28	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
196	0	0
0	49	147
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
56	0	140
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
0	0	196
196	0	0
196	0	0
196	0	0
196	0	0
0	196	0
196	0	0
196	0	0
196	0	0
0	0	196
0	196	0
196	0	0
0	0	196
196	0	0
196	0	0
196	0	0
147	0	49
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
196	0	0
0	0	196
